lon,lat,Vs30_Wills,Z2p5,Z1,ln_Amp760
-117.8777,34.1973,710.1,0.8,0.1,0.0347
-117.8305,34.1751,710.1,1.1,0.1,0.0058
-117.7833,34.1528,710.1,0.3,0.1,-0.1357
-117.7361,34.1306,386.6,1.1,0.1,-0.2145
-117.6890,34.1083,351.9,1.1,0.1,-0.1410
-117.6419,34.0860,351.9,0.7,0.3,0.0379
-117.5948,34.0637,293.5,0.4,0.2,-0.1167
-117.5477,34.0414,293.5,0.3,0.2,-0.1562
-117.5007,34.0190,386.6,0.3,0.1,-0.4541
-117.4536,33.9966,710.1,0.3,0.1,-0.3702
-117.4067,33.9743,351.9,0.3,0.2,-0.2187
-117.3597,33.9519,386.6,0.3,0.1,-0.1419
-117.3127,33.9294,710.1,0.0,0.0,-0.1850
